county,deaths,date
Chemung,107,2021-01-15
Chenango,39,2021-01-15
Clinton,16,2021-01-15
Columbia,67,2021-01-15
Cortland,53,2021-01-15
Delaware,16,2021-01-15
Dutchess,298,2021-01-15
Erie,1350,2021-01-15
Essex,16,2021-01-15
Franklin,9,2021-01-15
Fulton,47,2021-01-15
Genesee,96,2021-01-15
Greene,55,2021-01-15
Hamilton,1,2021-01-15
Herkimer,48,2021-01-15
Jefferson,21,2021-01-15
Kings,5648,2021-01-15
Lewis,22,2021-01-15
Livingston,37,2021-01-15
Madison,75,2021-01-15
Manhattan,2331,2021-01-15
Monroe,742,2021-01-15
Montgomery,72,2021-01-15
Nassau,2529,2021-01-15
Niagara,235,2021-01-15
Non-NYS,164,2021-01-15
Oneida,335,2021-01-15
Onondaga,520,2021-01-15
Ontario,79,2021-01-15
Orange,564,2021-01-15
Orleans,68,2021-01-15
Oswego,62,2021-01-15
Otsego,21,2021-01-15
Putnam,72,2021-01-15
Queens,5579,2021-01-15
Rensselaer,101,2021-01-15
Richmond,942,2021-01-15
Rockland,618,2021-01-15
Saratoga,78,2021-01-15
Schenectady,118,2021-01-15
Schoharie,5,2021-01-15
Schuyler,10,2021-01-15
Seneca,45,2021-01-15
St. Lawrence,56,2021-01-15
Statewide Total,32725,2021-01-15
Steuben,130,2021-01-15
Suffolk,2560,2021-01-15
Sullivan,48,2021-01-15
Tioga,54,2021-01-15
Tompkins,22,2021-01-15
Ulster,186,2021-01-15
Warren,37,2021-01-15
Washington,21,2021-01-15
Wayne,50,2021-01-15
Westchester,1780,2021-01-15
Wyoming,41,2021-01-15
Yates,16,2021-01-15
Albany,252,2021-01-16
Allegany,75,2021-01-16
Bronx,3658,2021-01-16
Broome,254,2021-01-16
Cattaraugus,60,2021-01-16
Cayuga,69,2021-01-16
