Report Date,County,Place of Fatality,Deaths by County of Residence
1/13/21,Richmond,928,934
1/13/21,Rockland,571,613
1/13/21,Saratoga,46,69
1/13/21,Schenectady,103,114
1/13/21,Schoharie,0,5
1/13/21,Schuyler,4,10
1/13/21,Seneca,28,44
1/13/21,St. Lawrence,55,55
1/13/21,Statewide Total,32379,32379
1/13/21,Steuben,112,130
1/13/21,Suffolk,2569,2524
1/13/21,Sullivan,41,48
1/13/21,Tioga,39,54
1/13/21,Tompkins,25,22
1/13/21,Ulster,108,179
1/13/21,Warren,45,35
1/13/21,Washington,13,20
1/13/21,Wayne,27,50
1/13/21,Westchester,1916,1763
1/13/21,Wyoming,30,40
1/13/21,Yates,11,16
1/14/21,Albany,376,248
1/14/21,Allegany,54,75
1/14/21,Bronx,3333,3647
1/14/21,Broome,268,248
1/14/21,Cattaraugus,55,60
1/14/21,Cayuga,59,68
1/14/21,Chautauqua,53,51
1/14/21,Chemung,130,107
1/14/21,Chenango,29,38
1/14/21,Clinton,15,13
1/14/21,Columbia,65,66
1/14/21,Cortland,49,52
1/14/21,Delaware,7,16
1/14/21,Dutchess,311,290
1/14/21,Erie,1435,1339
1/14/21,Essex,13,16
1/14/21,Franklin,8,9
1/14/21,Fulton,34,47
1/14/21,Genesee,84,91
1/14/21,Greene,21,51
1/14/21,Hamilton,0,1
1/14/21,Herkimer,20,46
1/14/21,Jefferson,16,20
1/14/21,Kings,5063,5632
1/14/21,Lewis,8,22
1/14/21,Livingston,20,36
1/14/21,Madison,71,75
1/14/21,Manhattan,3773,2329
1/14/21,Monroe,827,737
1/14/21,Montgomery,65,71
1/14/21,Nassau,3080,2518
1/14/21,Niagara,170,233
1/14/21,Non-NYS,0,163
1/14/21,Oneida,336,331
1/14/21,Onondaga,572,517
1/14/21,Ontario,94,77
1/14/21,Orange,582,562
1/14/21,Orleans,44,67
1/14/21,Oswego,49,62
1/14/21,Otsego,28,21
1/14/21,Putnam,69,70
1/14/21,Queens,4473,5562
1/14/21,Rensselaer,87,101
1/14/21,Richmond,932,939
